Date,Close/Last
02/25/2015,$128.79
02/24/2015,$132.17
02/23/2015,$133
02/20/2015,$129.495
02/19/2015,$128.45
02/18/2015,$128.715
02/17/2015,$127.83
02/13/2015,$127.08
02/12/2015,$126.46
02/11/2015,$124.88
02/10/2015,$122.02
02/09/2015,$119.72
02/06/2015,$118.93
02/05/2015,$119.94
02/04/2015,$119.56
02/03/2015,$118.65
02/02/2015,$118.63
01/30/2015,$117.16
01/29/2015,$118.9
01/28/2015,$115.31
01/27/2015,$109.14
01/26/2015,$113.1
01/23/2015,$112.98
01/22/2015,$112.4
01/21/2015,$109.55
01/20/2015,$108.72
01/16/2015,$105.99
01/15/2015,$106.82
01/14/2015,$109.8
01/13/2015,$110.22
01/12/2015,$109.25
01/09/2015,$112.01
01/08/2015,$111.89
01/07/2015,$107.75
01/06/2015,$106.26
01/05/2015,$106.25
01/02/2015,$109.33
12/31/2014,$110.38
12/30/2014,$112.52
12/29/2014,$113.91
12/26/2014,$113.99
12/24/2014,$112.01
12/23/2014,$112.54
12/22/2014,$112.94
12/19/2014,$111.78
12/18/2014,$112.65
12/17/2014,$109.41
12/16/2014,$106.745
12/15/2014,$108.225
12/12/2014,$109.73
12/11/2014,$111.62
12/10/2014,$111.95
12/09/2014,$114.12
12/08/2014,$112.4
12/05/2014,$115
12/04/2014,$115.49
12/03/2014,$115.93
12/02/2014,$114.63
12/01/2014,$115.07
11/28/2014,$118.93
11/26/2014,$119
11/25/2014,$117.6
11/24/2014,$118.625
11/21/2014,$116.47
11/20/2014,$116.31
11/19/2014,$114.67
11/18/2014,$115.47
11/17/2014,$113.99
11/14/2014,$114.18
11/13/2014,$112.82
11/12/2014,$111.25
11/11/2014,$109.7
11/10/2014,$108.83
11/07/2014,$109.01
11/06/2014,$108.7
11/05/2014,$108.86
11/04/2014,$108.6
11/03/2014,$109.4
10/31/2014,$108
10/30/2014,$106.98
10/29/2014,$107.34
10/28/2014,$106.74
10/27/2014,$105.11
10/24/2014,$105.22
10/23/2014,$104.83
10/22/2014,$102.99
10/21/2014,$102.47
10/20/2014,$99.76
10/17/2014,$97.67
10/16/2014,$96.26
10/15/2014,$97.54
10/14/2014,$98.75
10/13/2014,$99.81
10/10/2014,$100.73
10/09/2014,$101.02
10/08/2014,$100.8
10/07/2014,$98.75
10/06/2014,$99.62
10/03/2014,$99.62
10/02/2014,$99.9
10/01/2014,$99.18
09/30/2014,$100.75
09/29/2014,$100.11
09/26/2014,$100.75
09/25/2014,$97.87
09/24/2014,$101.75
09/23/2014,$102.64
09/22/2014,$101.06
09/19/2014,$100.96
09/18/2014,$101.79
09/17/2014,$101.58
09/16/2014,$100.86
09/15/2014,$101.63
09/12/2014,$101.66
09/11/2014,$101.43
09/10/2014,$101
09/09/2014,$97.99
09/08/2014,$98.36
09/05/2014,$98.97
09/04/2014,$98.12
09/03/2014,$98.94
09/02/2014,$103.3
08/29/2014,$102.5
08/28/2014,$102.25
08/27/2014,$102.13
08/26/2014,$100.889
08/25/2014,$101.54
08/22/2014,$101.32
08/21/2014,$100.58
08/20/2014,$100.57
08/19/2014,$100.53
08/18/2014,$99.16
08/15/2014,$97.98
08/14/2014,$97.5
08/13/2014,$97.24
08/12/2014,$95.97
08/11/2014,$95.99
08/08/2014,$94.74
08/07/2014,$94.48
08/06/2014,$94.96
08/05/2014,$95.12
08/04/2014,$95.59
08/01/2014,$96.13
07/31/2014,$95.6
07/30/2014,$98.15
07/29/2014,$98.38
07/28/2014,$99.02
07/25/2014,$97.671
07/24/2014,$97.03
07/23/2014,$97.19
07/22/2014,$94.72
07/21/2014,$93.939
07/18/2014,$94.43
07/17/2014,$93.0899
07/16/2014,$94.78
07/15/2014,$95.32
07/14/2014,$96.45
07/11/2014,$95.22
07/10/2014,$95.035
07/09/2014,$95.39
07/08/2014,$95.35
07/07/2014,$95.968
07/03/2014,$94.03
07/02/2014,$93.48
07/01/2014,$93.52
06/30/2014,$92.93
06/27/2014,$91.98
06/26/2014,$90.9
06/25/2014,$90.36
06/24/2014,$90.28
06/23/2014,$90.83
06/20/2014,$90.91
06/19/2014,$91.86
06/18/2014,$92.18
06/17/2014,$92.08
06/16/2014,$92.2
06/13/2014,$91.28
06/12/2014,$92.29
06/11/2014,$93.86
06/10/2014,$94.25
06/09/2014,$93.7
06/06/2014,$92.2243
06/05/2014,$92.4785
06/04/2014,$92.1171
06/03/2014,$91.0771
06/02/2014,$89.8071
05/30/2014,$90.4285
05/29/2014,$90.7685
05/28/2014,$89.1443
05/27/2014,$89.3757
05/23/2014,$87.7328
05/22/2014,$86.7528
05/21/2014,$86.6157
05/20/2014,$86.3871
05/19/2014,$86.37
05/16/2014,$85.3585
05/15/2014,$84.1171
05/14/2014,$84.8385
05/13/2014,$84.8228
05/12/2014,$84.69
05/09/2014,$83.6489
05/08/2014,$83.9985
05/07/2014,$84.6185
05/06/2014,$84.9157
05/05/2014,$85.8514
05/02/2014,$84.6543
05/01/2014,$84.4971
04/30/2014,$84.2985
04/29/2014,$84.6185
04/28/2014,$84.87
04/25/2014,$81.7057
04/24/2014,$81.11
04/23/2014,$74.9643
04/22/2014,$75.957
04/21/2014,$75.8814
04/17/2014,$74.9914
04/16/2014,$74.1443
04/15/2014,$73.9942
04/14/2014,$74.5257
04/11/2014,$74.23
04/10/2014,$74.7828
04/09/2014,$75.76
04/08/2014,$74.7771
04/07/2014,$74.7814
04/04/2014,$75.9743
04/03/2014,$76.97
04/02/2014,$77.5071
04/01/2014,$77.3785
03/31/2014,$76.6771
03/28/2014,$76.6943
03/27/2014,$76.78
03/26/2014,$77.1114
03/25/2014,$77.8557
03/24/2014,$77.0271
03/21/2014,$76.1243
03/20/2014,$75.5285
03/19/2014,$75.8943
03/18/2014,$75.9143
03/17/2014,$75.2485
03/14/2014,$74.9557
03/13/2014,$75.8071
03/12/2014,$76.6585
03/11/2014,$76.5843
03/10/2014,$75.8457
03/07/2014,$75.7771
03/06/2014,$75.8214
03/05/2014,$76.0514
03/04/2014,$75.8914
03/03/2014,$75.3943
02/28/2014,$75.1771
02/27/2014,$75.3814
02/26/2014,$73.9071
02/25/2014,$74.58
02/24/2014,$75.3643
02/21/2014,$75.0357
02/20/2014,$75.8785
02/19/2014,$76.7671
02/18/2014,$77.9985
02/14/2014,$77.7128
02/13/2014,$77.7757
02/12/2014,$76.56
02/11/2014,$76.5657
02/10/2014,$75.57
02/07/2014,$74.24
02/06/2014,$73.2157
02/05/2014,$73.2271
02/04/2014,$72.6843
02/03/2014,$71.6471
01/31/2014,$71.5143
01/30/2014,$71.3974
01/29/2014,$71.5357
01/28/2014,$72.3571
01/27/2014,$78.6428
01/24/2014,$78.01
01/23/2014,$79.4543
01/22/2014,$78.7871
01/21/2014,$78.4385
01/17/2014,$77.2385
01/16/2014,$79.1785
01/15/2014,$79.6228
01/14/2014,$78.0557
01/13/2014,$76.5328
01/10/2014,$76.1343
01/09/2014,$76.6455
01/08/2014,$77.6371
01/07/2014,$77.1482
01/06/2014,$77.7043
01/03/2014,$77.2828
01/02/2014,$79.0185
12/31/2013,$80.1457
